artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,genre
Florence + The Machine,Dog Days Are Over,0.059,0.504,251840,0.812,0.000526,7,0.119,-5.316,0.0911,150.11,4,0.331,alternative
blink-182,All The Small Things,0.00844,0.442,168000,0.893,0,0,0.529,-4.878,0.0505,148.119,4,0.702,alternative
Red Hot Chili Peppers,Snow (Hey Oh),0.116,0.427,334667,0.9,1.75e-05,11,0.119,-3.674,0.0499,104.655,4,0.591,alternative
Oasis,Wonderwall,0.000807,0.409,258613,0.892,0,2,0.207,-4.373,0.0336,174.426,4,0.651,alternative
Arctic Monkeys,When The Sun Goes Down,0.0363,0.35,200013,0.874,0,11,0.108,-4.755,0.186,169.512,4,0.419,alternative
Two Door Cinema Club,Undercover Martyn,0.000248,0.458,166573,0.88,7.92e-06,2,0.0897,-4.854,0.117,159.847,4,0.573,alternative
The Naked And Famous,Punching In A Dream,0.00276,0.476,238133,0.894,0.000847,6,0.158,-3.636,0.0469,115.053,4,0.164,alternative
Muse,Hysteria,0.000456,0.412,227440,0.92,0.0026,9,0.11,-4.852,0.0575,93.162,4,0.459,alternative
Cage The Elephant,Shake Me Down,0.00463,0.457,211373,0.613,0.000441,9,0.0711,-5.756,0.0295,105.11,4,0.129,alternative
The Cranberries,Linger,0.0849,0.211,274707,0.423,3.61e-05,7,0.146,-14.806,0.0297,94.84,4,0.225,alternative
The Kooks,Naive,0.0703,0.543,203507,0.819,0,11,0.149,-6.159,0.0661,102.687,4,0.717,alternative
Coldplay,Trouble,0.189,0.561,273427,0.547,0.00157,11,0.17,-7.496,0.0321,139.755,4,0.18,alternative
Nirvana,Heart-Shaped Box,0.0773,0.49,279040,0.778,0.00862,1,0.087,-6.968,0.0548,99.723,4,0.265,alternative
The Lumineers,Stubborn Love,0.607,0.598,279000,0.56,0.0432,0,0.196,-11.679,0.0375,115.01,4,0.225,alternative
Weezer,Say It Ain't So,0.00405,0.645,256880,0.42,3.69e-06,3,0.0711,-7.552,0.0293,76.084,4,0.461,alternative
3 Doors Down,When I'm Gone,0.00457,0.496,260507,0.765,0,7,0.104,-5.66,0.033,74.072,4,0.344,alternative
Alien Ant Farm,Smooth Criminal,0.00316,0.653,209267,0.964,0.00512,9,0.144,-4.261,0.0582,126.928,4,0.867,alternative
blink-182,Dammit,1.32e-05,0.347,166933,0.975,0.000167,0,0.1,-4.847,0.0845,110.487,4,0.286,alternative
Mumford & Sons,I Will Wait,0.0155,0.477,276720,0.776,0.00314,1,0.203,-5.056,0.0349,131.004,4,0.424,alternative
AWOLNATION,Kill Your Heroes,0.00768,0.577,178840,0.951,0.000102,0,0.755,-6.351,0.0677,96.076,4,0.314,alternative
The Black Keys,Everlasting Light,0.127,0.641,203773,0.582,0.00632,4,0.354,-6.554,0.0483,181.039,4,0.725,alternative
The Temper Trap,Sweet Disposition,0.139,0.538,232240,0.84,0.0772,2,0.116,-5.804,0.0415,129.085,4,0.319,alternative
Imagine Dragons,Bleeding Out,0.0214,0.318,221053,0.777,0,5,0.101,-3.94,0.0832,169.491,4,0.307,alternative
St. Vincent,Cheerleader,0.725,0.423,208627,0.376,0.0658,0,0.113,-9.449,0.0336,139.64,4,0.232,alternative
Gin Blossoms,Hey Jealousy,0.00117,0.464,236067,0.785,1.46e-06,6,0.328,-7.42,0.0436,153.005,4,0.505,alternative
Matchbox Twenty,Push,0.0067,0.42,238667,0.672,0,6,0.108,-7.902,0.027,168.019,4,0.459,alternative
The Wallflowers,One Headlight,0.000683,0.65,312920,0.678,0.000671,2,0.068,-6.768,0.0304,107.548,4,0.687,alternative
Florence + The Machine,Shake It Out,0.0126,0.519,277720,0.808,0,10,0.105,-4.097,0.0383,107.505,4,0.255,alternative
Two Door Cinema Club,Something Good Can Work,0.0208,0.676,165320,0.922,0.00213,0,0.116,-4.499,0.0576,119.929,4,0.914,alternative
Foster The People,Don't Stop (Color on the Walls),0.00183,0.611,174920,0.948,0.0995,1,0.0969,-3.751,0.0753,133.004,4,0.787,alternative
Red Hot Chili Peppers,Dani California,0.0193,0.556,282160,0.913,8.59e-06,0,0.346,-2.36,0.0437,96.184,4,0.733,alternative
Alex Clare,Too Close,0.00995,0.565,256613,0.711,0,11,0.114,-4.179,0.0417,126.01,4,0.315,alternative
Gorillaz,Feel Good Inc,0.00836,0.818,222640,0.705,0.00233,6,0.613,-6.679,0.177,138.559,4,0.772,alternative
Radiohead,Creep,0.00563,0.532,235667,0.344,0.000473,7,0.115,-13.057,0.035,91.834,4,0.119,alternative
Thirty Seconds To Mars,This Is War,0.0661,0.401,327027,0.723,1.91e-06,6,0.233,-5.26,0.0583,160.048,4,0.24,alternative
Taking Back Sunday,"Cute Without the ""E"" (Cut From the Team)",0.0394,0.402,211547,0.859,0,1,0.0745,-4.41,0.0466,95.31,4,0.518,alternative
Imagine Dragons,Demons,0.202,0.327,175200,0.71,9e-05,3,0.28,-2.928,0.0547,179.561,4,0.375,alternative
Coldplay,The Scientist,0.727,0.56,309600,0.442,1.71e-05,5,0.11,-7.224,0.0243,146.448,4,0.21,alternative
Lorde,Team,0.151,0.696,193059,0.59,0,6,0.247,-7.428,0.0904,99.984,4,0.452,alternative
The Verve,Bitter Sweet Symphony - 2004 Digital Remaster,0.0405,0.354,359547,0.908,0,9,0.181,-5.997,0.0447,171.135,4,0.518,alternative
The Killers,Mr. Brightside,0.00108,0.33,222587,0.936,0,1,0.0926,-3.66,0.0917,148.112,4,0.218,alternative
Death Cab for Cutie,Soul Meets Body,0.0767,0.621,229413,0.853,3.26e-06,2,0.0893,-5.735,0.0253,128.142,4,0.725,alternative
Sublime,What I Got,0.0172,0.795,171067,0.706,0.000384,7,0.326,-7.494,0.101,95.593,4,0.608,alternative
The Lumineers,Ho Hey,0.779,0.685,161227,0.474,1.23e-06,0,0.149,-9.105,0.0313,79.991,4,0.366,alternative
Neon Trees,Everybody Talks,0.00895,0.476,179387,0.918,0,8,0.292,-3.988,0.0616,154.897,4,0.726,alternative
blink-182,What's My Age Again?,0.0133,0.398,148573,0.954,0.000218,6,0.0891,-7.373,0.0715,157.766,4,0.434,alternative
fun.,Carry On,0.118,0.388,278373,0.694,0.000293,5,0.082,-5.769,0.0735,145.434,5,0.383,alternative
Mumford & Sons,The Cave,0.0536,0.592,215627,0.499,4.4e-05,4,0.113,-9.463,0.0374,141.938,4,0.333,alternative
The Shins,New Slang,0.605,0.669,231173,0.389,0.16,0,0.0905,-11.547,0.0306,130.015,4,0.642,alternative
Alpine,Hands,0.455,0.911,193560,0.456,0.0147,0,0.0971,-9.478,0.0612,92.001,4,0.643,alternative
U2,With Or Without You,0.000128,0.546,295200,0.485,0.318,2,0.0939,-9.424,0.027,109.913,4,0.102,alternative
Pearl Jam,Alive,0.00752,0.284,340907,0.875,0.000461,11,0.402,-6.069,0.0422,75.009,4,0.558,alternative
The xx,Intro,0.46,0.607,127920,0.789,0.907,9,0.128,-8.87,0.0278,100.351,4,0.158,alternative
Semisonic,Closing Time,0.0196,0.484,274160,0.841,1.71e-06,7,0.148,-5.438,0.0291,92.124,4,0.286,alternative
Vampire Weekend,A-Punk (Album),0.0102,0.551,137760,0.821,0.0438,2,0.153,-4.489,0.0539,174.923,4,0.847,alternative
Weezer,Island In The Sun,0.00789,0.647,200667,0.805,0.00211,4,0.168,-6.269,0.0279,114.638,4,0.714,alternative
Arctic Monkeys,Do I Wanna Know?,0.186,0.548,272394,0.532,0.000263,5,0.217,-7.596,0.0323,85.03,4,0.428,alternative
Thirty Seconds To Mars,Kings and Queens,0.0401,0.293,347667,0.816,2.95e-05,8,0.13,-5.432,0.0844,164.982,4,0.143,alternative
Linkin Park,In The End,0.0113,0.553,219000,0.9,0,3,0.322,-4.556,0.0584,105.213,4,0.397,alternative
Gotye,Somebody That I Used To Know,0.565,0.857,244973,0.517,0.000195,0,0.102,-6.972,0.0384,129.063,4,0.75,alternative
M83,Midnight City,0.0182,0.507,243960,0.729,1.4e-06,11,0.0658,-5.399,0.0393,105.013,4,0.275,alternative
Modest Mouse,Float On,0.013,0.649,208467,0.888,2.23e-06,6,0.0888,-4.807,0.0293,100.975,4,0.574,alternative
Red Hot Chili Peppers,Under The Bridge,0.0168,0.554,265507,0.49,0.000534,4,0.136,-8.046,0.0457,84.275,4,0.519,alternative
Foo Fighters,Everlong,5.69e-05,0.415,249987,0.867,0.000192,11,0.0883,-5.497,0.0387,157.902,4,0.347,alternative
Bastille,Pompeii,0.0749,0.681,214148,0.709,0,9,0.266,-6.488,0.041,127.44,4,0.577,alternative
Imagine Dragons,Tiptoe,0.00177,0.529,193000,0.798,2.6e-05,1,0.0871,-5.787,0.0316,120.01,4,0.322,alternative
Conner Youngblood,A Summer Song,0.083,0.626,349500,0.4,0.814,0,0.116,-11.49,0.0417,79.935,4,0.327,alternative
The Goo Goo Dolls,Iris,0.00133,0.291,289907,0.79,5.61e-06,11,0.0811,-5.683,0.0363,155.667,3,0.493,alternative
Nirvana,Come As You Are,8.36e-05,0.5,219027,0.832,0.00655,4,0.0924,-6.281,0.0325,120.066,4,0.558,alternative
Passion Pit,Little Secrets,0.00345,0.597,238973,0.786,0,5,0.0909,-4.248,0.0419,99.888,4,0.669,alternative
blink-182,I Miss You,0.00132,0.653,227253,0.774,6.98e-06,11,0.0835,-6.366,0.0341,109.997,4,0.617,alternative
Mumford & Sons,Lover Of The Light,0.0134,0.301,314787,0.697,0.000568,2,0.324,-6.49,0.0504,106.035,4,0.39,alternative
Foo Fighters,My Hero,6.01e-05,0.364,258973,0.925,0.000251,4,0.0603,-4.224,0.0659,153.981,4,0.318,alternative
The Temper Trap,Fader,8.73e-05,0.541,183907,0.75,0.615,11,0.129,-6.799,0.0346,134.972,4,0.168,alternative
Foster The People,Helena Beat,0.0127,0.67,276173,0.876,0.00302,5,0.109,-4.905,0.0536,126.968,4,0.735,alternative
Tegan and Sara,Closer,0.00174,0.588,209280,0.751,6.57e-05,0,0.353,-7.588,0.0328,136.979,4,0.524,alternative
The Smashing Pumpkins,1979,0.0166,0.765,266200,0.788,0.588,3,0.0513,-9.896,0.0332,126.879,4,0.963,alternative
Capital Cities,Kangaroo Court,0.00715,0.76,223187,0.579,0.000679,5,0.0304,-5.079,0.0388,99.979,4,0.975,alternative
Grouplove,Itchin' On A Photograph,0.137,0.501,259507,0.877,0,6,0.309,-6.369,0.0484,96.993,4,0.253,alternative
Rise Against,Savior,0.00161,0.339,242280,0.932,0.000134,5,0.425,-3.424,0.0613,112.549,4,0.464,alternative
Lana Del Rey,Video Games,0.841,0.329,281960,0.276,1.32e-06,6,0.0833,-9.584,0.0312,132.206,4,0.164,alternative
The White Stripes,Seven Nation Army,0.00666,0.745,231920,0.466,0.35,4,0.272,-7.62,0.0864,123.889,4,0.314,alternative
Neon Trees,Animal,0.000392,0.486,212293,0.831,0,5,0.363,-5.5,0.0506,148.026,4,0.793,alternative
Princess Music,White Wave (2012 Version),0.666,0.528,196463,0.471,0.22,5,0.147,-9.657,0.0257,104.723,4,0.432,alternative
Foo Fighters,The Pretender,0.000807,0.43,267360,0.955,0,9,0.044,-4.767,0.0424,172.975,4,0.351,alternative
alt-J,Something Good,0.728,0.68,218240,0.588,0.499,7,0.0791,-10.36,0.0296,108.994,4,0.528,alternative
The Strokes,Is This It,0.147,0.667,151333,0.692,3.75e-05,5,0.349,-8.361,0.0285,96.021,4,0.85,alternative
Linkin Park,What I've Done,0.0141,0.623,205613,0.93,1.64e-06,5,0.138,-5.285,0.0324,120.119,4,0.285,alternative
Grimes,Genesis,0.0764,0.611,255320,0.677,0.0698,10,0.241,-6.745,0.034,166.04,4,0.233,alternative
The Smashing Pumpkins,Bullet With Butterfly Wings,5.01e-05,0.389,257707,0.705,0.86,10,0.09,-10.331,0.0553,122.154,4,0.565,alternative
Of Monsters and Men,Mountain Sound,0.0513,0.395,211453,0.896,0.00396,1,0.14,-4.262,0.0351,101.867,4,0.35,alternative
Vertical Horizon,Everything You Want,0.0504,0.637,257067,0.759,0,3,0.0642,-6.389,0.0305,93.898,4,0.722,alternative
Phoenix,1901,0.0576,0.59,193120,0.836,2.38e-05,0,0.196,-5.391,0.0425,144.066,4,0.681,alternative
fun.,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,0.02,0.378,250627,0.638,7.66e-05,10,0.0849,-5.576,0.075,184.086,4,0.762,alternative
Atlas Genius,Trojans,0.0113,0.721,217387,0.822,7.01e-05,7,0.0898,-4.843,0.0391,140.002,4,0.536,alternative
Passion Pit,Carried Away,0.0176,0.772,221973,0.826,8.56e-06,0,0.383,-5.135,0.0344,119.995,4,0.884,alternative
Mumford & Sons,White Blank Page,0.212,0.324,253107,0.398,3e-05,6,0.692,-9.811,0.0352,113.165,4,0.291,alternative
Of Monsters and Men,Dirty Paws,0.132,0.362,278373,0.649,0.0113,3,0.0596,-7.094,0.0348,111.697,4,0.145,alternative
Incubus,Wish You Were Here,0.000631,0.246,212733,0.768,0.301,9,0.102,-7.48,0.0387,169.873,4,0.341,alternative
Paramore,Misery Business,0.00272,0.517,211520,0.906,9.26e-06,1,0.113,-3.677,0.0735,172.977,4,0.715,alternative
Linkin Park,In The End,0.0113,0.553,219000,0.9,0,3,0.322,-4.556,0.0584,105.213,4,0.397,rock
The Strokes,Reptilia,0.000563,0.486,219754,0.666,0.789,9,0.101,-5.084,0.033,157.992,4,0.745,rock
Metallica,Nothing Else Matters,0.0505,0.558,388733,0.364,5.02e-06,4,0.0753,-11.258,0.0265,142.171,3,0.165,rock
No Doubt,Don't Speak,0.224,0.515,263560,0.705,1.33e-05,0,0.17,-7.055,0.0333,76.078,4,0.542,rock
Linkin Park,Until It's Gone,0.0172,0.47,233240,0.878,0.054,4,0.235,-3.391,0.0429,114.986,4,0.315,rock
blink-182,I Miss You,0.00162,0.657,227213,0.776,4.5e-06,11,0.0824,-6.382,0.0338,109.997,4,0.602,rock
Arctic Monkeys,Snap Out Of It,0.249,0.728,193030,0.638,0,5,0.116,-6.455,0.0336,130.014,4,0.874,rock
The Black Keys,Gotta Get Away,0.0175,0.475,180173,0.836,0,4,0.104,-5.446,0.0529,123.144,4,0.716,rock
Modest Mouse,Float On,0.013,0.649,208467,0.888,2.23e-06,6,0.0888,-4.807,0.0293,100.975,4,0.574,rock
Red Hot Chili Peppers,Under The Bridge,0.0576,0.559,264307,0.345,0.000105,4,0.141,-13.496,0.0459,84.581,4,0.47,rock
Radiohead,Creep,0.0102,0.515,238640,0.43,0.000141,7,0.129,-9.935,0.0369,91.841,4,0.096,rock
blink-182,All The Small Things,0.0122,0.439,168000,0.891,0,0,0.547,-4.764,0.057,148.599,4,0.689,rock
Boston,More Than a Feeling,0.000894,0.377,285133,0.682,0.00217,7,0.0504,-8.039,0.0299,108.736,4,0.277,rock
Imagine Dragons,Warriors,0.0815,0.26,170067,0.823,0.00223,4,0.204,-6.216,0.069,78.772,4,0.313,rock
Foster The People,Pumped Up Kicks,0.145,0.733,239600,0.71,0.115,5,0.0956,-5.849,0.0292,127.975,4,0.963,rock
Joy Division,Love Will Tear Us Apart - 2011 Total Version,0.00103,0.524,206227,0.921,0.768,2,0.128,-7.709,0.0367,146.849,4,0.911,rock
TV On The Radio,Happy Idiot,0.00226,0.617,183002,0.948,0.00221,11,0.0755,-4.236,0.0621,139.996,4,0.852,rock
The Goo Goo Dolls,Iris,0.00133,0.291,289907,0.79,5.61e-06,11,0.0811,-5.683,0.0363,155.667,3,0.493,rock
Lenny Kravitz,The Chamber,9.49e-05,0.661,297321,0.925,0.014,7,0.0713,-6.396,0.0327,117.524,4,0.909,rock
Hoobastank,The Reason,0.0134,0.473,232800,0.643,0,4,0.16,-4.67,0.0293,82.95,4,0.0847,rock
Linkin Park,Numb,0.00366,0.493,186240,0.856,0,6,0.628,-4.134,0.0384,110.097,4,0.218,rock
Cobra Starship,Never Been In Love (feat. Icona Pop),0.00602,0.631,222714,0.929,0,7,0.261,-3.844,0.0316,121.08,4,0.684,rock
Scorpions,Wind Of Change,0.371,0.48,313227,0.535,0,0,0.0929,-10.232,0.0324,75.766,4,0.297,rock
Jamie T,Zombie,0.0135,0.546,246187,0.911,0,4,0.493,-4.639,0.0729,145.205,4,0.671,rock
Slipknot,The Negative One,0.0002,0.505,325171,0.979,0.00135,0,0.334,-1.665,0.0715,108.2,4,0.316,rock
Five Finger Death Punch,Wrong Side Of Heaven,0.00731,0.475,270933,0.933,0,4,0.276,-4.584,0.0693,150.078,4,0.536,rock
Red Hot Chili Peppers,Dani California,0.0193,0.556,282160,0.913,8.59e-06,0,0.346,-2.36,0.0437,96.184,4,0.733,rock
Green Day,Wake Me Up When September Ends,0.023,0.546,285653,0.814,0,7,0.0972,-5.146,0.0314,104.98,4,0.133,rock
Paramore,Ain't It Fun,0.154,0.61,296520,0.893,4.41e-05,9,0.021,-3.681,0.0921,104.031,4,0.666,rock
Seether,Words As Weapons,0.0111,0.59,240200,0.904,0.000719,5,0.0511,-5.58,0.058,109.932,4,0.658,rock
American Authors,Best Day Of My Life,0.0629,0.673,194240,0.902,0.000174,2,0.0552,-2.378,0.0347,100.016,4,0.53,rock
Kings of Leon,Sex on Fire,0.00166,0.544,204587,0.903,0.00632,9,0.1,-5.651,0.0545,153.629,4,0.437,rock
Green Day,21 Guns,0.0518,0.268,321093,0.742,0,5,0.626,-4.939,0.0355,159.779,4,0.413,rock
Blur,Song 2,0.00188,0.658,121880,0.709,0.00447,8,0.0657,-6.736,0.0904,129.699,4,0.852,rock
Jack White,Lazaretto,0.0046,0.381,219400,0.838,3.77e-05,6,0.101,-6.562,0.0709,118.214,4,0.573,rock
System of a Down,Chop Suey!,0.000278,0.419,210240,0.934,0.0015,7,0.132,-3.908,0.12,127.288,4,0.32,rock
The Black Keys,Lonely Boy,0.00417,0.356,193653,0.872,0.00975,2,0.0997,-7.837,0.068,166.3,4,0.592,rock
Arctic Monkeys,Do I Wanna Know?,0.35,0.535,273424,0.574,9.96e-05,2,0.12,-6.865,0.0372,84.984,4,0.461,rock
Fall Out Boy,Centuries,0.00441,0.346,231813,0.844,0,9,0.113,-3.164,0.0857,175.997,4,0.411,rock
Europe,The Final Countdown,0.0628,0.536,310333,0.844,0.00084,6,0.0608,-6.918,0.058,117.652,4,0.187,rock
Audioslave,Like a Stone,0.00797,0.614,293960,0.568,0,7,0.0997,-5.477,0.0276,107.849,4,0.51,rock
Metallica,Enter Sandman,0.00206,0.579,331573,0.824,0.00903,6,0.059,-8.71,0.03,123.331,4,0.64,rock
Interpol,All The Rage Back Home,4.2e-05,0.288,262427,0.907,0.579,7,0.277,-5.753,0.0576,84.483,4,0.34,rock
Imagine Dragons,Radioactive,0.0386,0.499,276040,0.894,0,9,0.399,-3.887,0.267,139.865,4,0.26,rock
R.E.M.,Losing My Religion,0.0767,0.672,267733,0.841,0,9,0.135,-5.992,0.0285,125.437,4,0.822,rock
WALK THE MOON,Shut Up and Dance,0.00607,0.579,197720,0.88,1.16e-06,1,0.268,-3.154,0.0633,128.047,4,0.637,rock
Slipknot,Killpop,0.000311,0.306,225067,0.926,0.000644,1,0.0776,-2.754,0.0912,158.47,4,0.469,rock
Jack White,Would You Fight For My Love?,0.448,0.512,247987,0.558,0.02,0,0.105,-8.925,0.0652,119.518,4,0.492,rock
Death From Above 1979,Trainwreck 1979,2.1e-05,0.522,226693,0.934,0.00399,5,0.253,-5.03,0.0617,135.052,4,0.307,rock
Paramore,Still Into You,0.0098,0.602,216013,0.923,0,5,0.0561,-3.763,0.044,136.01,4,0.74,rock
Edward Sharpe & The Magnetic Zeros,Home,0.292,0.542,303200,0.589,0.000522,2,0.177,-6.623,0.0318,111.665,4,0.139,rock
Green Day,Basket Case,0.00293,0.442,181533,0.943,8.71e-06,3,0.091,-3.205,0.0602,85.064,4,0.794,rock
Band of Horses,The Funeral,0.0142,0.316,321147,0.769,0,0,0.0928,-5.283,0.0422,122.507,4,0.112,rock
Weezer,Back To The Shack,0.00498,0.432,186613,0.709,2.67e-05,1,0.176,-5.217,0.0457,172.022,4,0.654,rock
Guns N' Roses,Sweet Child O' Mine,0.138,0.45,355267,0.941,0.123,6,0.108,-4.725,0.0489,125.138,4,0.651,rock
MGMT,Kids,0.00076,0.451,302840,0.931,0.0049,9,0.361,-3.871,0.0719,122.961,4,0.182,rock
The Black Keys,Fever,0.00378,0.609,246307,0.674,0.000302,9,0.129,-6.506,0.0355,127.541,4,0.744,rock
Enter Shikari,The Last Garrison,5.91e-05,0.362,222520,0.866,2.82e-06,2,0.147,-4.768,0.0388,175.695,4,0.391,rock
3 Doors Down,Kryptonite,0.00624,0.545,233827,0.86,2.18e-05,11,0.165,-5.054,0.0306,99.031,4,0.591,rock
Slipknot,The Devil In I,0.00591,0.398,342821,0.939,0.000881,9,0.357,-2.865,0.0648,92.027,4,0.228,rock
American Authors,Believer,0.00144,0.581,183893,0.968,0.0238,1,0.161,-2.92,0.0373,120.004,4,0.907,rock
Avenged Sevenfold,Hail to the King,0.000376,0.585,304880,0.887,0.0518,3,0.132,-5.086,0.0362,118.035,4,0.717,rock
Queen,Don't Stop Me Now,0.0653,0.56,209560,0.746,0.000394,5,0.51,-9.957,0.172,156.435,4,0.626,rock
Gorillaz,Clint Eastwood,0.0249,0.663,340920,0.694,0,10,0.0698,-8.627,0.172,167.964,4,0.515,rock
Arctic Monkeys,R U Mine?,0.0468,0.52,200188,0.785,0,6,0.698,-4.765,0.0329,96.996,4,0.678,rock
Nirvana,Smells Like Teen Spirit,2.86e-05,0.516,301920,0.906,0.000101,1,0.105,-4.525,0.0658,116.775,4,0.725,rock
The Killers,Mr. Brightside,0.00108,0.33,222587,0.936,0,1,0.0926,-3.66,0.0917,148.112,4,0.218,rock
Keane,Somewhere Only We Know,0.0693,0.437,237547,0.59,3.01e-06,9,0.0797,-6.791,0.0255,172.004,4,0.344,rock
Rage Against The Machine,Killing In The Name - Remastered,0.0266,0.466,313573,0.833,0,7,0.0327,-4.215,0.304,88.785,4,0.663,rock
Foo Fighters,Everlong,5.96e-05,0.412,250547,0.882,0.00031,11,0.0805,-5.54,0.0369,158.066,4,0.365,rock
Red Hot Chili Peppers,Californication,0.0021,0.592,329733,0.767,0.00165,9,0.127,-2.788,0.027,96.483,4,0.317,rock
3 Doors Down,Here Without You,0.0537,0.536,238560,0.55,0,10,0.134,-6.733,0.0248,144.018,4,0.227,rock
Bon Jovi,Livin' On A Prayer,0.0665,0.52,250627,0.887,0.000179,0,0.186,-3.296,0.0349,122.528,4,0.792,rock
Two Door Cinema Club,What You Know,0.000728,0.556,191400,0.763,6.79e-06,6,0.071,-3.952,0.0413,138.986,4,0.821,rock
Guns N' Roses,November Rain,0.0259,0.329,536960,0.679,0.315,11,0.123,-8.219,0.0314,80.029,4,0.259,rock
alt-J,Every Other Freckle,0.614,0.543,216004,0.707,0.0414,2,0.118,-7.636,0.07,143.915,4,0.5,rock
Aerosmith,I Don't Want to Miss a Thing,0.165,0.383,298760,0.662,0,2,0.248,-5.162,0.0333,121.154,4,0.14,rock
My Chemical Romance,Welcome to the Black Parade,0.000289,0.217,311107,0.905,0.00011,2,0.222,-4.103,0.0752,96.95,4,0.225,rock
The Killers,Somebody Told Me,0.000123,0.5,197160,0.975,0.000379,10,0.104,-3.176,0.0824,138.005,4,0.771,rock
Bon Jovi,It's My Life,0.0302,0.541,224600,0.936,3.03e-06,0,0.363,-3.038,0.0525,120.06,4,0.456,rock
alt-J,Breezeblocks,0.096,0.616,227080,0.656,0.000879,5,0.205,-7.298,0.0344,150.071,4,0.283,rock
Sheppard,Geronimo,0.421,0.708,218228,0.779,0.00176,7,0.115,-6.28,0.0787,142.012,4,0.452,rock
Queen,Bohemian Rhapsody,0.273,0.395,354320,0.407,0,0,0.212,-9.91,0.0545,143.456,4,0.249,rock
Nirvana,Come As You Are,0.000182,0.505,218920,0.825,0.000948,4,0.0855,-5.721,0.0401,119.987,4,0.535,rock
Kasabian,eez-eh,0.00041,0.659,179933,0.898,0.0396,11,0.102,-4.284,0.0447,122.013,4,0.746,rock
The Verve,Bitter Sweet Symphony,0.0313,0.383,358333,0.907,0,9,0.347,-5.409,0.0405,171.052,4,0.513,rock
Imagine Dragons,Demons,0.23,0.499,175200,0.73,0.00018,3,0.378,-2.831,0.0367,90.058,4,0.339,rock
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),0.0313,0.561,186827,0.927,2.34e-05,9,0.529,-4.374,0.0619,152.011,4,0.562,rock
The Offspring,"You're Gonna Go Far, Kid",0.00485,0.547,178333,0.877,0,9,0.247,-5.135,0.0658,126.083,4,0.605,rock
MGMT,Electric Feel,0.0714,0.763,229640,0.807,0.28,1,0.348,-3.714,0.035,103.038,3,0.544,rock
alt-J,Left Hand Free,0.462,0.697,173631,0.877,0.00943,3,0.083,-4.465,0.0462,101.99,4,0.798,rock
Evanescence,Bring Me To Life,0.00895,0.316,235893,0.945,1.85e-06,4,0.396,-3.169,0.124,189.931,4,0.303,rock
Journey,Don't Stop Believin',0.127,0.5,250987,0.748,0,4,0.447,-9.072,0.0363,118.852,4,0.53,rock
Pixies,Where Is My Mind?,0.00769,0.519,233493,0.413,0.000736,4,0.1,-15.128,0.0341,81.638,4,0.212,rock
Guns N' Roses,Welcome To The Jungle,0.0301,0.456,271867,0.978,0.499,10,0.313,-4.869,0.112,123.411,4,0.342,rock
Survivor,Eye of the Tiger,0.195,0.806,244080,0.599,0.000455,0,0.0837,-9.379,0.0323,109.016,4,0.584,rock
Foo Fighters,The Pretender,0.000917,0.433,269373,0.959,0,9,0.028,-4.04,0.0431,172.984,4,0.357,rock
Kings of Leon,Use Somebody,0.00552,0.276,230760,0.715,0.000417,0,0.201,-5.356,0.0432,137.028,4,0.167,rock
Queens of the Stone Age,No One Knows,0.0359,0.507,278707,0.588,0.000129,0,0.373,-4.881,0.0641,170.889,4,0.631,rock
Franz Ferdinand,Take Me Out,0.000423,0.278,237027,0.676,0.000899,9,0.136,-8.821,0.0371,104.545,4,0.494,rock
David Guetta,Lovers on the Sun (feat. Sam Martin),0.0932,0.645,203520,0.891,3.88e-06,6,0.379,-2.505,0.0387,124.915,4,0.564,pop
Lorde,Team,0.151,0.696,193059,0.59,0,6,0.247,-7.428,0.0904,99.984,4,0.452,pop
Coldplay,The Scientist,0.727,0.56,309600,0.442,1.71e-05,5,0.11,-7.224,0.0243,146.448,4,0.21,pop
Icona Pop,I Love It (feat. Charli XCX) - Original Version,0.00855,0.714,155337,0.905,2.55e-05,8,0.146,-2.663,0.0289,125.927,4,0.824,pop
Austin Mahone,Mmm Yeah,0.00217,0.726,231627,0.938,1.89e-06,6,0.286,-2.52,0.0419,126.024,4,0.979,pop
Miley Cyrus,We Can't Stop,0.00882,0.613,231240,0.622,0,1,0.37,-5.794,0.0334,80.003,4,0.472,pop
Ed Sheeran,Don't,0.0113,0.806,219840,0.608,0,1,0.635,-7.008,0.0659,95.049,4,0.859,pop
Christina Perri,human,0.132,0.439,250707,0.489,0.000643,8,0.114,-6.286,0.0368,143.808,4,0.247,pop
Drake,0 To 100 / The Catch Up,0.762,0.617,275227,0.699,0,11,0.301,-4.051,0.385,179.496,4,0.531,pop
Ellie Goulding,Burn,0.296,0.516,231212,0.772,0,10,0.101,-5.031,0.0476,87.038,4,0.319,pop
Katy Perry,This Is How We Do,0.0236,0.686,204285,0.635,0,9,0.0819,-6.062,0.045,95.998,4,0.782,pop
DJ Khaled,Hold You Down,0.208,0.507,293253,0.664,0,6,0.165,-4.763,0.0669,151.873,3,0.443,pop
Lana Del Rey,Summertime Sadness,0.055,0.561,264773,0.647,1.02e-06,1,0.119,-6.807,0.0341,111.926,4,0.261,pop
